# AUTO-HARVESTED building/decor catalog - generated by ctrmap.tools.BuildingHarvester.
# Metadata only (donor region + tile box); geometry cuts from the user's pristine dump.
# Every row passed the cut->stamp->validate gate. Columns = curated TSV + location, retailCount, signature.
A_STRUCT	Littleroot Town structure	1	8	4	16	8	19	0	-1	-1	-	-1	-1	Littleroot Town	1	9874eb9070ab7c18
A_STRUCT	Littleroot Town structure 2	1	8	27	11	31	14	0	-1	-1	-	-1	-1	Littleroot Town	1	861ddcf0eae15b39
A_TREE	Littleroot Town tree	1	8	11	6	20	12	0	-1	-1	-	-1	-1	Littleroot Town	1	ce7ec25965ea8560
A_STRUCT	Littleroot Town structure 3	1	8	9	5	13	10	0	-1	-1	-	-1	-1	Littleroot Town	1	842784595ae4a643
A_STRUCT	Littleroot Town structure 4	1	8	8	14	11	16	0	-1	-1	-	-1	-1	Littleroot Town	1	98adbf79629df022
A_STRUCT	Littleroot Town structure 5	1	8	5	11	10	14	0	-1	-1	-	-1	-1	Littleroot Town	6	942f77ac7ac79486
A_STRUCT	Littleroot Town structure 6	1	8	5	7	9	11	0	-1	-1	-	-1	-1	Littleroot Town	1	a61bd83105f84e5e
A_STRUCT	Littleroot Town structure 7	1	8	1	7	5	12	0	-1	-1	-	-1	-1	Littleroot Town	1	bc4206cf64974184
A_STRUCT	Littleroot Town structure 8	1	8	34	13	39	17	0	-1	-1	-	-1	-1	Littleroot Town	1	c3b4b5f9bfa176c0
A_STRUCT	Littleroot Town structure 9	1	8	1	20	5	24	0	-1	-1	-	-1	-1	Littleroot Town	1	c03184e8b75a8ba8
A_STRUCT	Littleroot Town structure 10	1	8	32	5	36	10	0	-1	-1	-	-1	-1	Littleroot Town	1	9ebaa52d134cc6ea
A_STRUCT	Littleroot Town structure 11	1	8	4	24	8	28	0	-1	-1	-	-1	-1	Littleroot Town	1	a1d8d73ae664ad09
A_STRUCT	Littleroot Town structure 12	1	8	12	3	16	7	0	-1	-1	-	-1	-1	Littleroot Town	1	de132face63f880b
